,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,title
0,0.619,0.805,5,-4.759,1,0.0452,0.29,0.0,0.236,0.354,128.039,audio_features,2v9SirLJCR6EPUD7hQySfX,spotify:track:2v9SirLJCR6EPUD7hQySfX,https://api.spotify.com/v1/tracks/2v9SirLJCR6EPUD7hQySfX,https://api.spotify.com/v1/audio-analysis/2v9SirLJCR6EPUD7hQySfX,202353,4,progressivehouse,Reckless
1,0.624,0.903,1,-4.54,0,0.0362,0.0325,0.757,0.0908,0.312,126.045,audio_features,2eY2qF8cJnFXdLdw13mah4,spotify:track:2eY2qF8cJnFXdLdw13mah4,https://api.spotify.com/v1/tracks/2eY2qF8cJnFXdLdw13mah4,https://api.spotify.com/v1/audio-analysis/2eY2qF8cJnFXdLdw13mah4,150160,4,progressivehouse,Bromance - Avicii Remix
2,0.579,0.956,8,-3.24,0,0.0864,0.000597,5.08e-05,0.0912,0.416,127.994,audio_features,08OUKuV8oRKp0MjJLdS1DD,spotify:track:08OUKuV8oRKp0MjJLdS1DD,https://api.spotify.com/v1/tracks/08OUKuV8oRKp0MjJLdS1DD,https://api.spotify.com/v1/audio-analysis/08OUKuV8oRKp0MjJLdS1DD,271750,4,progressivehouse,Satellite
3,0.55,0.846,8,-2.453,1,0.0465,0.281,0.0,0.117,0.246,128.02,audio_features,11844dsNtU4OJWXesfvSGd,spotify:track:11844dsNtU4OJWXesfvSGd,https://api.spotify.com/v1/tracks/11844dsNtU4OJWXesfvSGd,https://api.spotify.com/v1/audio-analysis/11844dsNtU4OJWXesfvSGd,211750,4,progressivehouse,Oceans
4,0.557,0.832,2,-4.336,1,0.0421,9.62e-05,8.17e-06,0.163,0.481,128.066,audio_features,7GJzmo8TiG1ekqepGmvb2y,spotify:track:7GJzmo8TiG1ekqepGmvb2y,https://api.spotify.com/v1/tracks/7GJzmo8TiG1ekqepGmvb2y,https://api.spotify.com/v1/audio-analysis/7GJzmo8TiG1ekqepGmvb2y,211750,4,progressivehouse,We Are Young
5,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,audio_features,24LS4lQShWyixJ0ZrJXfJ5,spotify:track:24LS4lQShWyixJ0ZrJXfJ5,https://api.spotify.com/v1/tracks/24LS4lQShWyixJ0ZrJXfJ5,https://api.spotify.com/v1/audio-analysis/24LS4lQShWyixJ0ZrJXfJ5,212560,4,progressivehouse,Sweet Nothing (feat. Florence Welch)
6,0.71,0.882,4,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128.016,audio_features,4wkQmYpAaMe41Rc3sYZ7Vz,spotify:track:4wkQmYpAaMe41Rc3sYZ7Vz,https://api.spotify.com/v1/tracks/4wkQmYpAaMe41Rc3sYZ7Vz,https://api.spotify.com/v1/audio-analysis/4wkQmYpAaMe41Rc3sYZ7Vz,232800,4,progressivehouse,Let's Go (feat. Ne-Yo)
7,0.452,0.876,6,-3.83,0,0.0518,0.0501,1.58e-05,0.309,0.275,125.994,audio_features,4Od9dAVmQf70b7TE4hNWJU,spotify:track:4Od9dAVmQf70b7TE4hNWJU,https://api.spotify.com/v1/tracks/4Od9dAVmQf70b7TE4hNWJU,https://api.spotify.com/v1/audio-analysis/4Od9dAVmQf70b7TE4hNWJU,221922,4,progressivehouse,Hurricane - Radio Edit
8,0.516,0.647,6,-4.64,0,0.0392,0.263,0.0,0.464,0.176,128.025,audio_features,0EDfSAmfJj8xiTn5hP9UNP,spotify:track:0EDfSAmfJj8xiTn5hP9UNP,https://api.spotify.com/v1/tracks/0EDfSAmfJj8xiTn5hP9UNP,https://api.spotify.com/v1/audio-analysis/0EDfSAmfJj8xiTn5hP9UNP,191250,4,progressivehouse,Above The Tide
9,0.699,0.786,8,-6.441,1,0.0489,0.00465,0.000689,0.0615,0.641,128.034,audio_features,7HX02ClvnHczSARJPQl0zP,spotify:track:7HX02ClvnHczSARJPQl0zP,https://api.spotify.com/v1/tracks/7HX02ClvnHczSARJPQl0zP,https://api.spotify.com/v1/audio-analysis/7HX02ClvnHczSARJPQl0zP,237267,4,progressivehouse,Night Sky
