danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,genre
0.527,0.862,-3.684,0.0457,2.4e-05,0.13,0.348,130.081,progressivehouse
0.49,0.936,-4.575,0.0772,0.00446,0.316,0.0891,132.013,progressivehouse
0.605,0.873,-5.938,0.0344,0.837,0.314,0.476,126.026,progressivehouse
0.525,0.925,-7.213,0.0526,0.0285,0.0707,0.203,128.015,progressivehouse
0.75,0.729,-6.06,0.0622,0.873,0.0647,0.166,126.997,progressivehouse
0.56,0.869,-4.587,0.0622,4.06e-06,0.304,0.177,134.934,progressivehouse
0.614,0.66,-6.049,0.0386,8.49e-05,0.147,0.183,127.979,progressivehouse
0.63,0.906,-4.877,0.155,2.09e-06,0.175,0.343,128.096,progressivehouse
0.64,0.591,-3.905,0.0344,6.45e-06,0.159,0.304,128.004,progressivehouse
0.527,0.684,-5.052,0.0385,0.0,0.11,0.364,127.978,progressivehouse
0.48,0.853,-3.508,0.0753,0.0,0.118,0.311,127.94,progressivehouse
0.727,0.828,-3.459,0.0572,0.0,0.0591,0.393,127.963,progressivehouse
0.608,0.87,-4.639,0.0511,0.0,0.11,0.604,128.048,progressivehouse
0.532,0.861,-3.069,0.0594,0.0,0.0392,0.377,127.954,progressivehouse
0.71,0.882,-2.932,0.0595,0.00771,0.294,0.875,128.016,progressivehouse
0.477,0.835,-4.634,0.03,0.188,0.112,0.138,128.01,progressivehouse
0.549,0.835,-2.632,0.0656,0.0,0.212,0.423,126.08,progressivehouse
0.509,0.781,-3.48,0.072,0.0,0.0749,0.176,128.0,progressivehouse
0.527,0.864,-3.115,0.0499,0.00599,0.207,0.422,129.2,progressivehouse
0.554,0.889,-3.144,0.0629,0.0,0.576,0.633,127.894,progressivehouse
0.662,0.611,-6.857,0.0771,0.0338,0.0713,0.269,127.959,progressivehouse
0.538,0.833,-4.138,0.055,0.00167,0.685,0.188,127.976,progressivehouse
0.497,0.576,-4.391,0.0467,0.0,0.11,0.139,128.043,progressivehouse
0.537,0.848,-2.431,0.0313,0.0,0.423,0.498,128.023,progressivehouse
0.629,0.898,-3.425,0.0524,0.00944,0.226,0.478,127.996,progressivehouse
0.63,0.773,-5.008,0.0303,0.208,0.074,0.34,127.979,progressivehouse
0.429,0.922,-1.814,0.0935,0.0,0.0668,0.21,128.168,progressivehouse
0.592,0.758,-4.612,0.0811,0.0,0.162,0.451,124.963,progressivehouse
0.504,0.777,-4.22,0.0737,1.28e-06,0.431,0.325,128.103,progressivehouse
0.49,0.697,-5.677,0.0966,0.0,0.264,0.507,128.168,progressivehouse
0.345,0.592,-6.717,0.0663,0.00193,0.117,0.134,127.871,progressivehouse
0.568,0.807,-4.967,0.0534,4.8e-06,0.0979,0.384,126.021,progressivehouse
0.358,0.918,-3.071,0.054,0.0073,0.164,0.0936,127.942,progressivehouse
0.661,0.783,-5.817,0.108,0.885,0.031,0.695,128.007,progressivehouse
0.637,0.664,-7.335,0.0388,8.57e-06,0.0976,0.361,128.009,progressivehouse
0.491,0.903,-5.272,0.0691,0.0,0.14,0.336,128.03,progressivehouse
0.547,0.753,-2.371,0.044,0.0,0.368,0.345,127.959,progressivehouse
0.564,0.849,-4.766,0.0443,1.01e-06,0.822,0.372,126.049,progressivehouse
0.565,0.879,-4.908,0.0327,0.634,0.0616,0.198,128.011,progressivehouse
0.421,0.757,-4.594,0.0512,0.0,0.755,0.237,127.513,progressivehouse
0.527,0.626,-8.425,0.0325,0.00111,0.724,0.303,130.059,progressivehouse
0.635,0.795,-4.816,0.0421,0.571,0.0986,0.357,128.006,progressivehouse
0.526,0.81,-2.299,0.0337,2.11e-05,0.303,0.519,126.003,progressivehouse
0.403,0.902,-3.729,0.0619,0.0,0.348,0.434,127.96,progressivehouse
0.57,0.569,-7.521,0.0349,0.0,0.22,0.0784,128.029,progressivehouse
0.552,0.852,-4.682,0.0342,0.728,0.273,0.367,126.006,progressivehouse
0.553,0.979,-5.471,0.0283,0.13,0.269,0.46,128.002,progressivehouse
0.532,0.888,-3.441,0.0604,0.0,0.0792,0.257,127.998,progressivehouse
0.541,0.92,-3.299,0.0937,0.000397,0.0911,0.2,123.952,progressivehouse
0.513,0.917,-4.048,0.0628,0.816,0.0592,0.145,128.024,progressivehouse
0.382,0.698,-3.409,0.0374,5.24e-05,0.108,0.151,127.816,progressivehouse
0.547,0.965,-4.527,0.0557,0.107,0.642,0.0845,128.009,progressivehouse
0.395,0.829,-3.745,0.05,4.08e-06,0.0756,0.228,128.091,progressivehouse
0.558,0.737,-7.959,0.0318,0.891,0.107,0.142,127.973,progressivehouse
0.539,0.846,-5.975,0.0736,0.0,0.093,0.152,134.07,progressivehouse
0.633,0.869,-4.528,0.0575,0.0349,0.218,0.573,127.979,progressivehouse
0.46,0.728,-4.162,0.0376,0.000199,0.66,0.142,127.991,progressivehouse
0.571,0.916,-3.08,0.132,0.103,0.376,0.154,129.928,progressivehouse
0.59,0.821,-5.369,0.0693,0.00022,0.199,0.117,129.027,progressivehouse
0.602,0.97,-3.994,0.125,0.0053,0.201,0.364,127.953,progressivehouse
0.582,0.912,-4.593,0.037,0.572,0.261,0.236,127.977,progressivehouse
0.466,0.813,-4.301,0.0473,0.000947,0.686,0.265,125.12,progressivehouse
0.566,0.846,-4.682,0.043,0.0,0.141,0.517,127.919,progressivehouse
0.651,0.851,-4.51,0.0991,0.0,0.476,0.553,127.999,progressivehouse
0.489,0.825,-4.124,0.0841,0.000164,0.285,0.146,128.003,progressivehouse
0.516,0.758,-4.018,0.0562,8.3e-05,0.647,0.265,128.069,progressivehouse
0.457,0.89,-4.304,0.0461,0.0,0.0964,0.19,127.877,progressivehouse
0.523,0.934,-4.435,0.0758,6.67e-06,0.0583,0.302,127.973,progressivehouse
0.545,0.78,-4.867,0.0436,4.64e-05,0.0828,0.458,125.014,progressivehouse
0.478,0.92,-6.251,0.0404,0.947,0.348,0.492,127.978,progressivehouse
0.512,0.805,-4.937,0.0835,0.0,0.129,0.342,128.096,progressivehouse
0.49,0.811,-2.524,0.044,0.0,0.0898,0.547,125.965,progressivehouse
0.69,0.78,-4.446,0.0594,0.00183,0.0729,0.238,126.07,progressivehouse
0.445,0.934,-4.335,0.0845,1.33e-05,0.321,0.223,130.043,progressivehouse
0.41,0.789,-4.287,0.0445,0.0,0.389,0.197,128.092,progressivehouse
0.555,0.813,-5.792,0.033,0.0,0.165,0.435,125.034,progressivehouse
0.507,0.861,-3.302,0.0938,0.00101,0.643,0.238,127.964,progressivehouse
0.458,0.891,-3.991,0.044,0.0,0.476,0.0725,127.923,progressivehouse
0.639,0.591,-3.905,0.0344,6.69e-06,0.159,0.305,128.002,progressivehouse
0.768,0.632,-7.406,0.0385,0.908,0.0989,0.372,125.978,progressivehouse
0.644,0.97,-2.57,0.0824,0.0768,0.0531,0.566,127.999,progressivehouse
0.632,0.863,-2.914,0.0807,0.00407,0.113,0.378,127.929,progressivehouse
0.464,0.728,-3.835,0.0467,0.0,0.356,0.126,130.077,progressivehouse
0.49,0.85,-3.774,0.0482,0.0,0.173,0.252,127.997,progressivehouse
0.725,0.95,-3.568,0.096,0.775,0.178,0.281,127.986,progressivehouse
0.48,0.851,-2.523,0.0701,0.0,0.325,0.169,127.955,progressivehouse
0.554,0.914,-4.397,0.0855,8.07e-06,0.852,0.105,128.002,progressivehouse
0.743,0.766,-4.601,0.0502,0.001,0.0866,0.444,128.03,progressivehouse
0.576,0.864,-4.287,0.0527,0.0,0.241,0.425,126.021,progressivehouse
0.637,0.774,-4.683,0.0323,0.0,0.0521,0.289,128.034,progressivehouse
0.478,0.684,-5.149,0.0327,6.8e-06,0.102,0.0577,127.938,progressivehouse
0.461,0.947,-3.492,0.0485,7.37e-05,0.315,0.19,128.017,progressivehouse
0.634,0.694,-6.643,0.0334,4.18e-06,0.053,0.33,127.972,progressivehouse
0.485,0.841,-2.287,0.053,0.0,0.548,0.326,127.94,progressivehouse
0.604,0.965,-4.256,0.0561,0.0023,0.0863,0.0615,127.965,progressivehouse
0.603,0.792,-4.782,0.0472,2.74e-06,0.168,0.195,126.926,progressivehouse
0.629,0.798,-8.52,0.042,0.959,0.0765,0.495,128.007,progressivehouse
0.463,0.798,-4.454,0.0609,0.000196,0.137,0.235,128.031,progressivehouse
0.46,0.908,-2.902,0.0387,0.12,0.407,0.274,127.956,progressivehouse
0.743,0.827,-5.223,0.0647,0.000205,0.237,0.0388,127.985,progressivehouse
0.504,0.847,-6.81,0.0442,0.0,0.816,0.28,127.854,progressivehouse
0.484,0.862,-5.107,0.0492,1.46e-06,0.119,0.301,127.926,progressivehouse
0.5,0.726,-4.124,0.0643,0.0,0.441,0.397,125.904,progressivehouse
0.55,0.846,-2.453,0.0465,0.0,0.117,0.246,128.02,progressivehouse
0.375,0.701,-3.462,0.0457,1.27e-05,0.395,0.0927,127.953,progressivehouse
0.564,0.639,-6.828,0.038,0.0,0.133,0.0624,126.062,progressivehouse
0.596,0.738,-3.109,0.0411,0.0,0.0947,0.461,127.961,progressivehouse
0.613,0.533,-6.574,0.0344,0.0,0.458,0.54,127.947,progressivehouse
0.539,0.64,-6.602,0.0464,3.82e-05,0.491,0.378,128.037,progressivehouse
0.315,0.891,-3.487,0.0568,1.25e-06,0.41,0.119,126.022,progressivehouse
0.677,0.929,-3.917,0.0512,0.228,0.101,0.205,126.019,progressivehouse
0.577,0.615,-6.084,0.0395,1.33e-06,0.124,0.174,127.904,progressivehouse
0.645,0.886,-3.59,0.139,0.0332,0.143,0.481,128.018,progressivehouse
0.447,0.684,-4.721,0.09,0.0,0.478,0.437,125.655,progressivehouse
0.636,0.877,-3.408,0.127,0.0,0.467,0.44,128.059,progressivehouse
0.508,0.805,-5.311,0.0504,0.0,0.856,0.283,127.963,progressivehouse
0.579,0.956,-3.24,0.0864,5.08e-05,0.0912,0.416,127.994,progressivehouse
0.737,0.614,-6.001,0.4,0.0534,0.0682,0.406,127.987,progressivehouse
